id,alpacaId,name,currency,races,xp,earnings,fees,entryFees,withdraws,bets,pnl,createdAt,updatedAt,wallet,normalized_pnl,normalized_xp,xp_rank,pnl_rank,pnl_reward
115,0b93fd8e-0c78-41e2-8a46-dfbedb31d8a5,Almighty Alpaca #99,DFL,254,140790,1335750000000000,670500000000000,670500000000000,0,0,665250000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,1,0.6284393622,5,1,550
140,f866c71f-f6b3-451b-baae-a661087f8e8d,Almighty Alpaca #3575,DFL,470,223907,2189350000000000,1574000000000000,1574000000000000,0,0,615350000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.9543562772,1,1,2,500
111,1f34d40e-8e94-4c47-8953-04be7db5d8f4,Almighty Alpaca #347,DFL,293,151724,1186700000000000,596000000000000,596000000000000,0,0,590700000000000,{},{},AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,0.9318088269,0.6773179792,4,3,450
958,c7d1f16a-c2e4-4d32-a9a0-c0d3513104c2,Almighty Alpaca #3221,DFL,461,198385,1222750000000000,702000000000000,702000000000000,0,0,520750000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.8678252916,0.8859081704,2,4,400
26,5e7e3e1b-117d-462b-b406-3de6a670db72,Almighty Alpaca #1524,DFL,205,114872,992225000000000,575000000000000,575000000000000,0,0,417225000000000,{},{},A4Tf3qAMGd1g21q8xWo7Ed3zEKWDbiVR883D6bcmp8kt,0.773130574,0.5125772809,8,5,350
480,5940e7cc-594d-4d15-89e7-10b56bf8a3b8,Almighty Alpaca #23,DFL,388,173576,1633150000000000,1263500000000000,1263500000000000,0,0,369650000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.7296135376,0.775003688,3,6,300
15018,4f81e1b6-807c-4554-81cf-5d16274dab53,Almighty Alpaca #702,DFL,225,97315,600875000000000,310500000000000,310500000000000,0,0,290375000000000,{},{},Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,0.6571003887,0.4340916508,9,7,250
125,83f40c94-23e1-41e9-a502-f8f40ac1f90c,Almighty Alpaca #2552,DFL,108,62013,549750000000000,284000000000000,284000000000000,0,0,265750000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.6345758061,0.276279968,26,8,200
204,07a8c91c-0d0d-4140-9b1c-257e9fe43adc,Almighty Alpaca #1491,DFL,314,129325,854550000000000,622500000000000,622500000000000,0,0,232050000000000,{},{},13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,0.6037502858,0.5771869985,6,9,150
306,f437523c-67c7-4d22-ae55-5111c1813dc7,Almighty Alpaca #2398,DFL,194,80022,497900000000000,283000000000000,283000000000000,0,0,214900000000000,{},{},Enfe9Zh3fnw3U2qcQCJZun4YjVAF9kycrSorEJmPbBZZ,0.5880631146,0.3567861885,14,10,100
159,095f9ebb-33d4-4abf-ad12-7f183201ed15,Almighty Alpaca #246,DFL,118,60296,463925000000000,254000000000000,254000000000000,0,0,209925000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5835124628,0.2686044069,27,11,50
5057,4da5b5db-5309-44ba-8216-b7d68280cc0b,Almighty Alpaca #659,DFL,252,94539,554500000000000,356000000000000,356000000000000,0,0,198500000000000,{},{},7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,0.5730619712,0.4216820074,11,12,50
181,9a7a138e-cf22-4298-8f6e-870d2fded1bb,Almighty Alpaca #2244,DFL,101,50979,397575000000000,219000000000000,219000000000000,0,0,178575000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5548364967,0.2269543177,39,13,50
379,41bbe557-43dd-459e-8187-4f44e62e9d25,Almighty Alpaca #373,DFL,318,127077,659725000000000,488500000000000,488500000000000,0,0,171225000000000,{},{},2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,0.5481134233,0.5671376907,7,14,50
675,0636d660-8a32-4c2a-b6eb-fb6e3bdad4e9,Almighty Alpaca #553,DFL,63,36095,286475000000000,143000000000000,143000000000000,0,0,143475000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.522730391,0.1604178867,68,15,50
562,7996328c-cae3-4bd2-8d13-b19788717cf6,Almighty Alpaca #515,DFL,67,34214,321475000000000,180500000000000,180500000000000,0,0,140975000000000,{},{},HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,0.5204436314,0.152009191,73,16,50
2060,662a80f7-9af8-40d2-ab53-fa0397f5b54d,Almighty Alpaca #1179,DFL,192,72325,434500000000000,296500000000000,296500000000000,0,0,138000000000000,{},{},EbnzVAhHUzWYvP3u8iTKDCFYkgY3iWn9bXBssWStxD4,0.5177223874,0.3223780381,18,17,50
